Imagen 1,Imagen 2,Imagen 3,Imagen 4,UPC,Product/food,Presentation ml ,Price,Porcion ml,KCAL,Hidratos de carbono,PROTEINA,GRASA,FIBRA,Ingredients,Nut category,Super category,Suggested category,Nutrit score,Econom score,Gastro score,Nutrit Advice,Econom advice,Gastro advice,Sodium,cafein
Frontal,Codigo De Barras,Informacion Nutrimental,Ingredientes,string,string,numeric,numeric,numeric,float,float,float,float,float,"string, comma separated",numeric with labels,numeric with labels,numeric with labels,numeric with labels,numeric with labels,numeric with labels,string~separated,string~separated,string~separated,numeric,numeric
750155339426~1,750155339426~2,750155339426~3,750155339426~4,750155339426,Del Valle Antiox Arándano,300,8,300,156,39,0,0,0,"agua, jugo de manzana, azucares, extracto de arandano, concentrado del valle sabor arandano",1,3,,1,,,,,,,
7501013100037~1,7501013100037~2,7501013100037~3,7501013100037~4,7501013100037,Jumex Mango (LataBotella),500,11.5,200,88,22,0,0,0,"agua, jugo y pulpa de mango, azucares jumex, acido citrico, acido ascorbico",1,3,,2,advice,a,advicea,econadvicea,culinariadvicea,,
7501055330683~1,7501055330683~2,7501055330683~3,7501055330683~4,7501055330683,Del Valle Frut,600,6,200,64,16,0,0,0,"agua, azucares, concentrado del valle frut (ponche citrico), acido citrico, jugo de naranja del valle, benzoato de potasio, sorbato de potasio, EDTA de calcio,colorante amarillo 5, colorante amarrillo 6, tiamina, retinol",1,3,,3,advice,b,adviceb,econadviceb,culinariadviceb,,
75000011~1,75000011~2,75000011~3,75000011~4,75000011,Nesquik Nestle (cajita),240,7.8,240,126,17.6,6,3.5,2.5,"leche parcialmente descremada, azucar, fibra dietetica, cocoa, celulosa microcristalina, carboxil metilcelulosa, sabor natural a chocolate, sal yodada, carragenina, mono y digliceridos de acidos grasos, suclalosa, acelsufame K, canela, vitamina C, niacina, vitamina E, vitamina B2, vitamina B6, vitamina A, vitamina B1, acido folico,vitamina D, vitamina B12  ",2,2,,1,advice,c,advicec,econadvicec,culinariadvicec,,
7501059236233~1,7501059236233~2,7501059236233~3,7501059236233~4,7501059236233,Nesquik Nestle (sport),240,8.5,240,163,24.2,6.3,4.5,0,"leche parcialmente descremada, azucar, cocoa, celulosa microcristalina, carboxilmetilcelulosa, sal yodada, carragenina, mono y digliceridos de acidos grasos, saborizante artificial, suclalosa, acelsufame K, canela, vitamina C, niacina, vitamina E, vitamina B2, vitamina B6, vitamina A, vitamina B1, acido folico, vitamina D, vitamina B12  ",2,2,,2,advice,d,adviced,econadviced,culinariadviced,,
7501073830509~1,7501073830509~2,7501073830509~3,7501073830509~4,7501073830509,Peñafiel Agua Mineral ,600,6.99,240,0,0,0,0,0,"agua, gas ",3,3,,3,advice,e,advicee,econadvicee,culinariadvicee,,
7501055328345~1,7501055328345~2,7501055328345~3,7501055328345~4,7501055328345,Coca Cola,400,6.5,400,168,0,0,0,0,"agua carbonadata, azucares, concentrados coca cola, ",3,3,,1,advice,f,advicef,econadvicef,culinariadvicef,,
7501011167063~1,7501011167063~2,7501011167063~3,7501011167063~4,7501011167063,Be ligtht sabor mango ,500,8.31,200,0,0,0,0,0,"agua, acido citrico, concentrado Be light mando, exametafosfato de sodio, acido malico, aspartame, acelsulfame, sorbato de potasio, citrato de sodio, EDTA de calcio, caramelo, acido ascorbico, tartracina, amarillo ocaso FCF, rojo allura AC, fenil cetunuricos, fenilalanina ",3,3,,2,advice,g,adviceg,econadviceg,culinariadviceg,,
75810400223~1,75810400223~2,75810400223~3,75810400223~4,75810400223,Bonafont levite fresa,500,7,200,38,9.5,0,0,0,"agua, azucares, acido citrico, saborizante  indentio al natural fresa, acido malico, sorbato de potasio, citrato de sodio, estevia, polidimetilsiloxano, puede contener trazas de soya, puede contener trazas de maiz ",3,3,,3,advice,h,adviceh,econadviceh,culinariadviceh,,
